ROUTE,DAY,DELAY
ATL-EYW,FRI,53.18518519
ATL-EYW,SAT,110.962963
ATL-FAR,MON,53
ATL-FAR,WED,33.5
ATL-FAR,THU,128
ATL-FAR,FRI,15
ATL-FAR,SAT,74.6
ATL-FAY,SUN,54.25
ATL-FAY,MON,74.63461538
ATL-FAY,TUE,59.02857143
ATL-FAY,WED,65.5
ATL-FAY,THU,52.5625
ATL-FAY,FRI,45.75862069
ATL-FAY,SAT,49.26315789
ATL-FCA,SAT,23
ATL-FLL,SUN,47.84242424
ATL-FLL,MON,47.96354167
ATL-FLL,TUE,59.1474359
ATL-FLL,WED,51.93034826
ATL-FLL,THU,59.36909871
ATL-FLL,FRI,48.05581395
ATL-FLL,SAT,50.43243243
ATL-FNT,SUN,44.52380952
ATL-FNT,MON,52.59259259
ATL-FNT,TUE,55.15
ATL-FNT,WED,65.05555556
ATL-FNT,THU,54.375
ATL-FNT,FRI,80
ATL-FNT,SAT,130.8181818
ATL-FSD,SUN,62.83333333
ATL-FSD,MON,109.4166667
ATL-FSD,TUE,57.78571429
ATL-FSD,WED,85.92857143
ATL-FSD,THU,41.4375
ATL-FSD,FRI,63.6
ATL-FSD,SAT,41.66666667
ATL-FSM,SUN,55.83333333
ATL-FSM,MON,59.72222222
ATL-FSM,TUE,82.07142857
ATL-FSM,WED,70.17391304
ATL-FSM,THU,51.75
ATL-FSM,FRI,51.8
ATL-FSM,SAT,74.07692308
ATL-FWA,SUN,63.23529412
ATL-FWA,MON,99.76666667
ATL-FWA,TUE,73.0952381
ATL-FWA,WED,67.2
ATL-FWA,THU,99.22222222
ATL-FWA,FRI,67.60714286
ATL-FWA,SAT,69.125
ATL-GNV,SUN,58.4
ATL-GNV,MON,44.60240964
ATL-GNV,TUE,63.72413793
ATL-GNV,WED,54.23880597
ATL-GNV,THU,54.98701299
ATL-GNV,FRI,53.38983051
ATL-GNV,SAT,41.86666667
ATL-GPT,SUN,52.47619048
ATL-GPT,MON,41.66666667
ATL-GPT,TUE,53.24137931
ATL-GPT,WED,60.38461538
ATL-GPT,THU,52.03125
ATL-GPT,FRI,35.27586207
ATL-GPT,SAT,45.20833333
ATL-GRB,SUN,60.41666667
ATL-GRB,MON,71.44444444
ATL-GRB,TUE,94
ATL-GRB,WED,73.07142857
ATL-GRB,THU,58.64705882
ATL-GRB,FRI,71.2
ATL-GRB,SAT,81.25
ATL-GRK,SUN,67.7
ATL-GRK,MON,63.69565217
ATL-GRK,TUE,97.5
ATL-GRK,WED,54.90909091
ATL-GRK,THU,61.28125
ATL-GRK,FRI,59.85714286
ATL-GRK,SAT,58.36363636
ATL-GRR,SUN,49.27777778
ATL-GRR,MON,58.11764706
ATL-GRR,TUE,64.29166667
ATL-GRR,WED,60.5
ATL-GRR,THU,51.95652174
ATL-GRR,FRI,63.15789474
ATL-GRR,SAT,54.4375
ATL-GSO,SUN,62.84
ATL-GSO,MON,67.53658537
ATL-GSO,TUE,61.71428571
ATL-GSO,WED,60.78461538
ATL-GSO,THU,55.19277108
ATL-GSO,FRI,71.421875
ATL-GSO,SAT,55.45454545
ATL-GSP,SUN,54.57777778
ATL-GSP,MON,61.84615385
ATL-GSP,TUE,61.7962963
ATL-GSP,WED,60.94339623
ATL-GSP,THU,49.88
ATL-GSP,FRI,53.70175439
ATL-GSP,SAT,66.67857143
ATL-GTR,SUN,64.56521739
ATL-GTR,MON,61.93548387
ATL-GTR,TUE,64.125
ATL-GTR,WED,74.69230769
ATL-GTR,THU,50.48148148
ATL-GTR,FRI,45.22222222
ATL-GTR,SAT,46.875
ATL-HDN,SUN,35
ATL-HDN,MON,36.5
ATL-HDN,TUE,68
ATL-HDN,WED,40
ATL-HDN,THU,108.6666667
ATL-HDN,FRI,42.16666667
ATL-HDN,SAT,96
ATL-HNL,SUN,68.75
ATL-HNL,MON,87.5
ATL-HNL,TUE,126
ATL-HNL,WED,60.875
ATL-HNL,THU,26.25
ATL-HNL,FRI,59.72727273
ATL-HNL,SAT,38.77777778
ATL-HOU,SUN,43.52040816
ATL-HOU,MON,59.63636364
ATL-HOU,TUE,70.79090909
ATL-HOU,WED,56.6097561
ATL-HOU,THU,64.73170732
ATL-HOU,FRI,47.5
ATL-HOU,SAT,63.14492754
ATL-HPN,SUN,57.32876712
ATL-HPN,MON,58.87804878
ATL-HPN,TUE,56.1641791
ATL-HPN,WED,56.07317073
ATL-HPN,THU,63.60674157
ATL-HPN,FRI,53.86764706
ATL-HPN,SAT,41.58064516
ATL-HSV,SUN,51.96078431
ATL-HSV,MON,78.88461538
ATL-HSV,TUE,70.81818182
ATL-HSV,WED,54.62903226
ATL-HSV,THU,59.31578947
ATL-HSV,FRI,44.375
ATL-HSV,SAT,55.23076923
ATL-IAD,SUN,58.90384615
ATL-IAD,MON,58.01428571
ATL-IAD,TUE,61.84
ATL-IAD,WED,52.39705882
ATL-IAD,THU,69.86666667
ATL-IAD,FRI,57.63793103
ATL-IAD,SAT,39.03225806
ATL-IAH,SUN,59.39449541
ATL-IAH,MON,62.7768595
ATL-IAH,TUE,70.8
ATL-IAH,WED,69.38059701
